"x","y","dtime","lc","delta.t"
66879.4579640395,831655.904323587,1995-10-27 17:25:00,"1",2.85
63585.0259225216,835622.217848194,1995-10-27 19:03:00,"A",1.63333333333333
61745.173534006,861505.500157519,1995-10-27 20:45:00,"A",1.7
61685.8080211885,861504.570862069,1995-10-27 20:45:00,"A",0.1
58406.0913552729,826050.386461863,1995-10-28 00:29:00,"B",3.73333333333333
99241.1098196175,824960.873675432,1995-10-28 01:37:00,"B",1.13333333333333
59794.288086348,833329.74433406,1995-10-28 03:15:00,"A",1.63333333333333
59174.462850696,798371.157683909,1995-10-28 04:55:00,"A",1.66666666666667
65898.3300344042,833091.320816211,1995-10-28 12:42:00,"0",7.78333333333333
69855.5001671543,829138.531164671,1995-10-28 15:21:00,"B",2.65
66711.6143255199,845166.846701557,1995-10-28 16:02:00,"0",0.683333333333333
67386.3741354489,829989.313221062,1995-10-28 17:01:00,"0",0.983333333333333
61751.7115766382,834364.801704796,1995-10-28 18:43:00,"A",1.7
62433.8011302435,832811.984231316,1995-10-28 21:00:00,"B",2.28333333333333
66565.4125855379,832544.053636005,1995-10-29 02:51:00,"1",6.85
75039.4480770977,830461.496218649,1995-10-29 10:49:00,"A",7.96666666666667
69784.8661834564,833157.720969937,1995-10-29 16:40:00,"1",5.85
73448.7067956594,829091.624938844,1995-10-29 18:21:00,"0",1.68333333333333
73234.25954017,834224.984700176,1995-10-29 19:09:00,"0",0.8
68421.1782652319,832463.912220854,1995-10-29 19:59:00,"A",0.833333333333333
67550.7089753158,830885.518427066,1995-10-29 20:47:00,"A",0.8
112264.706957711,798837.390913391,1995-10-30 00:52:00,"B",4.08333333333333
66236.3818623964,830751.713273073,1995-10-30 14:00:00,"A",13.1333333333333
64022.7139349207,830715.427245813,1995-10-30 16:16:00,"1",2.26666666666667
85836.4959992394,821075.409084123,1995-10-30 18:00:00,"B",1.73333333333333
60827.8112847147,832228.680798752,1995-10-31 02:10:00,"A",8.16666666666667
43154.7994608099,778966.831645193,1995-10-31 10:30:00,"B",8.33333333333333
74362.4761927769,831453.89579598,1995-10-31 13:50:00,"B",3.33333333333333
25218.0643311354,826036.543883961,1995-10-31 13:51:00,"B",0.0166666666666667
64783.932069515,846363.421660419,1995-10-31 15:31:00,"0",1.66666666666667
69704.4555860166,830922.719959861,1995-10-31 17:37:00,"0",2.1
65384.0789332233,831631.009458676,1995-11-01 12:00:00,"A",18.3833333333333
67218.1822391603,829316.408791635,1995-11-01 13:43:00,"2",1.71666666666667
54928.9851118207,821869.233870264,1995-11-01 15:20:00,"A",1.61666666666667
64640.9781603808,829497.009479429,1995-11-01 15:33:00,"B",0.216666666666667
98143.6081530418,801258.086724586,1995-11-01 16:59:00,"B",1.43333333333333
12784.6302471379,817938.080497451,1995-11-01 17:12:00,"B",0.216666666666667
65030.669292427,831290.178016971,1995-11-01 18:37:00,"B",1.41666666666667
65665.7606058876,829067.108649239,1995-11-01 18:55:00,"1",0.3
42300.9283207251,808093.468397591,1995-11-01 21:57:00,"B",3.03333333333333
124672.847176323,834278.472082038,1995-11-02 03:07:00,"B",5.16666666666667
-87695.8574740767,765848.90560008,1995-11-02 04:47:00,"B",1.66666666666667
80978.5584796125,841523.619218009,1995-11-02 06:28:00,"A",1.68333333333333
66344.8517079466,831423.584816369,1995-11-02 11:50:00,"2",5.36666666666667
67277.356268087,832891.087063879,1995-11-02 13:29:00,"1",1.65
62738.1851313752,828684.804181218,1995-11-02 15:11:00,"B",1.7
-7221.93118032525,872756.541822401,1995-11-02 20:05:00,"B",4.9
-33015.5586029157,860601.785731643,1995-11-02 20:10:00,"A",0.0833333333333333
138238.628342034,801883.669638602,1995-11-02 23:23:00,"B",3.21666666666667
63400.4083310513,835954.304327961,1995-11-03 01:06:00,"0",1.71666666666667
62613.0814194378,836611.884113091,1995-11-03 01:07:00,"0",0.0166666666666667
66425.1986672247,830196.483297912,1995-11-03 02:41:00,"0",1.56666666666667
67697.8337556465,832786.553630062,1995-11-03 11:38:00,"0",8.95
66488.7843604654,833547.88000409,1995-11-03 16:31:00,"0",4.88333333333333
98962.0541050342,821714.974643948,1995-11-03 18:12:00,"0",1.68333333333333
59989.6774817821,828307.362877515,1995-11-04 02:24:00,"0",8.2
78941.6105756335,835897.995665293,1995-11-04 04:03:00,"0",1.65
71585.6193093214,826154.056571538,1995-11-04 11:25:00,"1",7.36666666666667
62483.0567599664,833482.822204973,1995-11-04 13:07:00,"0",1.7
64853.03031005,831175.597741693,1995-11-04 16:07:00,"A",3
65178.291760562,825932.240936894,1995-11-04 16:26:00,"A",0.316666666666667
48103.2607983409,815974.708872744,1995-11-04 17:50:00,"B",1.4
59413.0310638938,786318.032788107,1995-11-04 21:21:00,"B",3.51666666666667
70500.3910872053,833282.041161703,1995-11-05 14:38:00,"A",17.2833333333333
64283.6986956233,829379.540344827,1995-11-05 19:08:00,"0",4.5
-82310.6187152873,609377.8202245,1995-11-05 22:51:00,"B",3.71666666666667
68434.9537223344,817723.420877111,1995-11-06 01:38:00,"A",2.78333333333333
64303.7854784852,831836.728526474,1995-11-06 03:18:00,"0",1.66666666666667
58165.9280636089,830178.682063784,1995-11-06 14:26:00,"0",11.1333333333333
42804.1552097256,811671.553923829,1995-11-06 22:40:00,"B",8.23333333333333
96505.4737146061,801664.914506779,1995-11-07 00:21:00,"B",1.68333333333333
65514.7557055221,830963.101727262,1995-11-07 12:37:00,"B",12.2666666666667
60391.7708659834,829430.173272031,1995-11-07 14:16:00,"1",1.65
59957.6692553044,830428.659055945,1995-11-07 18:25:00,"A",4.15
66046.5495240864,824159.824321132,1995-11-07 20:49:00,"A",2.4
60440.4033803276,841938.929766684,1995-11-07 22:30:00,"B",1.68333333333333
60755.981034961,829100.705481541,1995-11-08 00:14:00,"0",1.73333333333333
66189.5697341294,829969.199710465,1995-11-08 10:42:00,"0",10.4666666666667
63552.8242416596,837631.959015126,1995-11-08 12:25:00,"B",1.71666666666667
61258.8872325419,827545.014325017,1995-11-08 14:04:00,"0",1.65
38642.6331749596,819221.441246811,1995-11-08 16:23:00,"B",2.31666666666667
44998.6160954765,803657.161142369,1995-11-08 20:42:00,"B",4.31666666666667
61604.3081122682,828443.726307264,1995-11-09 00:01:00,"0",3.31666666666667
59364.3375851485,830084.731050559,1995-11-09 02:13:00,"A",2.2
86238.3854204966,835714.79293617,1995-11-09 10:28:00,"0",8.25
66172.4584775187,827400.398816479,1995-11-09 19:20:00,"B",8.86666666666667
59912.9825284687,829422.927204074,1995-11-09 22:10:00,"0",2.83333333333333
60846.5813753954,827092.000050535,1995-11-09 23:49:00,"B",1.65
37233.1187316739,796544.255137482,1995-11-10 03:30:00,"B",3.68333333333333
51423.741957463,823944.026035947,1995-11-10 12:04:00,"1",8.56666666666667
60228.0540229035,832331.216307486,1995-11-10 13:43:00,"1",1.65
62326.1675822522,828231.632350346,1995-11-10 18:57:00,"1",5.23333333333333
53879.3955430572,824088.176513329,1995-11-10 21:56:00,"A",2.98333333333333
64918.319121228,888591.708324977,1995-11-11 01:28:00,"B",3.53333333333333
150270.678614216,858298.137365967,1995-11-11 03:06:00,"B",1.63333333333333
60378.1995158292,830323.352979003,1995-11-11 04:48:00,"1",1.7
61629.6149002646,819064.015268106,1995-11-11 06:30:00,"B",1.7
64386.9242252611,826701.054478846,1995-11-11 11:53:00,"0",5.38333333333333
58513.4409366913,830965.495851563,1995-11-11 13:32:00,"A",1.65
62935.4342041327,827571.195516364,1995-11-11 20:06:00,"B",6.56666666666667
62105.8793596051,826999.795276938,1995-11-11 20:14:00,"0",0.133333333333333
61038.0990230212,830221.760686693,1995-11-11 21:46:00,"B",1.53333333333333
58596.3101383485,829403.297908308,1995-11-11 23:29:00,"A",1.71666666666667
60071.4647582954,826856.875753142,1995-11-12 02:48:00,"0",3.31666666666667
80936.0272324517,778321.313287718,1995-11-12 06:07:00,"B",3.31666666666667
50437.1271167673,835545.011365316,1995-11-12 13:22:00,"0",7.25
62174.9913024254,830239.386131351,1995-11-12 15:02:00,"0",1.66666666666667
59380.7680723199,832988.510938712,1995-11-12 16:34:00,"1",1.53333333333333
92057.5808668056,819315.773248714,1995-11-12 18:15:00,"0",1.68333333333333
77250.8673591703,852060.404066075,1995-11-12 19:55:00,"B",1.66666666666667
20791.7426155779,754795.515463199,1995-11-13 02:24:00,"B",6.48333333333333
61532.927193968,825315.836754671,1995-11-13 11:29:00,"1",9.08333333333333
65833.5082866822,826166.374040612,1995-11-13 13:10:00,"1",1.68333333333333
53657.2708104048,853680.107027905,1995-11-13 21:25:00,"A",8.25
56870.9692204999,832840.099413405,1995-11-14 00:46:00,"A",3.35
74738.8387207884,820963.382131882,1995-11-14 02:08:00,"B",1.36666666666667
61456.9546595251,830228.216429512,1995-11-14 14:41:00,"1",12.55
61511.3288723815,818950.524408961,1995-11-14 21:15:00,"A",6.56666666666667
58958.8634418593,841246.504722003,1995-11-15 00:37:00,"B",3.36666666666667
45198.819565677,838943.807210518,1995-11-15 01:43:00,"B",1.1
47828.2198525056,818874.473577048,1995-11-15 03:19:00,"B",1.6
65634.4064860629,830965.076536473,1995-11-15 05:02:00,"A",1.71666666666667
64236.9576783329,839653.276122828,1995-11-15 06:43:00,"A",1.68333333333333
64177.2631202556,839652.309309233,1995-11-15 06:43:00,"A",0.1
64648.1187413308,832735.736458447,1995-11-15 11:10:00,"0",4.45
60915.0027480088,830443.219604452,1995-11-15 14:31:00,"2",3.35
58374.098591342,832303.535171985,1995-11-15 20:29:00,"0",5.96666666666667
63253.3259706924,841424.411061679,1995-11-16 06:20:00,"A",9.85
52210.0833355284,814239.865268488,1995-11-16 10:58:00,"0",4.63333333333333
53444.474052053,834132.594612775,1995-11-16 12:37:00,"A",1.65
59098.4048718541,831867.547413533,1995-11-16 14:20:00,"0",1.71666666666667
158831.901940069,922472.929176451,1995-11-17 04:19:00,"B",13.9833333333333
58665.4690624825,840907.101332966,1995-11-17 05:58:00,"A",1.65
65148.4792914551,831403.784900083,1995-11-17 12:28:00,"0",6.5
59774.8096029692,830649.251327722,1995-11-17 14:08:00,"1",1.66666666666667
59628.3290177906,832433.842483254,1995-11-17 16:26:00,"A",2.3
59407.480897792,831202.111443147,1995-11-17 19:46:00,"2",3.33333333333333
61810.7629118293,830568.727011858,1995-11-18 03:56:00,"A",8.16666666666667
68639.1553442566,830234.107916764,1995-11-18 05:39:00,"A",1.71666666666667
68004.4698839576,832345.076164395,1995-11-18 12:17:00,"1",6.63333333333333
64503.4492646584,812074.841675302,1995-11-18 13:59:00,"B",1.7
60675.6697041409,830439.557844422,1995-11-18 17:43:00,"2",3.73333333333333
59537.1618634196,830534.009740006,1995-11-18 19:24:00,"2",1.68333333333333
63825.6280938733,824346.926259857,1995-11-18 20:32:00,"B",1.13333333333333
57903.7940031533,831738.279451028,1995-11-18 23:55:00,"1",3.38333333333333
55104.71331412,848003.81406336,1995-11-19 01:55:00,"A",2
64475.9214343677,828600.934895413,1995-11-19 15:26:00,"A",13.5166666666667
64283.6986956233,829379.540344827,1995-11-19 15:40:00,"A",0.233333333333333
56589.4792601201,831607.664856728,1995-11-19 19:02:00,"1",3.36666666666667
61282.6100999431,829890.502570732,1995-11-19 22:01:00,"1",2.98333333333333
61284.3317352258,829778.855545925,1995-11-19 22:01:00,"1",0.1
60564.5104308607,829879.494121453,1995-11-19 23:43:00,"2",1.7
62341.9192325232,827226.831172472,1995-11-20 01:34:00,"A",1.85
59061.6683250097,826283.404239172,1995-11-20 03:14:00,"A",1.66666666666667
64615.557168794,831060.052099517,1995-11-20 04:53:00,"1",1.65
60742.156950157,826085.371464369,1995-11-20 06:33:00,"A",1.66666666666667
68863.0195476622,831131.403020822,1995-11-20 17:02:00,"A",10.4833333333333
61181.827873662,828660.546771043,1995-11-20 21:52:00,"B",4.83333333333333
58797.3198982551,827954.53746558,1995-11-21 01:12:00,"A",3.33333333333333
59048.4066600421,827176.564930247,1995-11-21 11:46:00,"B",10.5666666666667
57567.4987507881,826038.162365443,1995-11-21 21:41:00,"A",9.91666666666667
63526.2249976339,831824.217129436,1995-11-22 16:18:00,"B",18.6166666666667
61868.0756358127,826884.417751237,1995-11-23 14:46:00,"B",22.4666666666667
56715.4861871565,831162.769094522,1995-11-24 01:49:00,"B",11.05
